Landkreis;Crop;Variety;A_ha;P_per_A;P_t;Year
Brandenburg an der Havel (KfS);Huelsenfruechte;Erbsen;NA;NA;NA;2001-2006
Brandenburg an der Havel (KfS);Huelsenfruechte;Lupinen;NA;NA;NA;2001-2006
Brandenburg an der Havel (KfS);Oelfruechte;Raps und Ruebsen zusammen;NA;NA;NA;2001-2006
Brandenburg an der Havel (KfS);Oelfruechte;Sonnenblumen;NA;NA;NA;2001-2006
Brandenburg an der Havel (KfS);Oelfruechte;Winterraps;NA;NA;NA;2001-2006
Cottbus (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Feldgras/Grasanbau;NA;56.7;NA;2001-2006
Cottbus (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Klee, Kleegras und Klee-Luzerne-Gemisch;NA;NA;NA;2001-2006
Cottbus (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Leguminosen;NA;NA;NA;2001-2006
Cottbus (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Luzerne, Luzernegras;NA;NA;NA;2001-2006
Cottbus (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Silomais;NA;212.7;NA;2001-2006
Cottbus (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Weiden;NA;60;NA;2001-2006
Cottbus (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Wiesen;NA;44.3;NA;2001-2006
Cottbus (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Wiesen und Maehweiden zusammen;NA;56.1;NA;2001-2006
Cottbus (KfS);Getreide;Brotgetreide zusammen;NA;27. Sep;NA;2001-2006
Cottbus (KfS);Getreide;Futter- und Industriegetreide;NA;28. Jul;NA;2001-2006
Cottbus (KfS);Getreide;Gerste zusammen;NA;28. Apr;NA;2001-2006
Cottbus (KfS);Getreide;Getreide insgesamt;NA;29. Jun;NA;2001-2006
Cottbus (KfS);Getreide;Getreide zur Ganzpflanzenernte;NA;NA;NA;2001-2006
Cottbus (KfS);Getreide;Getreide zusammen (ohne Koernermais und Corn-Cob-Mix);NA;28. Feb;NA;2001-2006
Cottbus (KfS);Getreide;Hafer;NA;21. Sep;NA;2001-2006
Cottbus (KfS);Getreide;Koernermais (einschl. Corn-Cob-Mix);NA;NA;NA;2001-2006
Cottbus (KfS);Getreide;Roggen;NA;27. Mai;NA;2001-2006
Cottbus (KfS);Getreide;Roggen und Wintermenggetreide;NA;NA;NA;2001-2006
Cottbus (KfS);Getreide;Sommergerste;NA;22;NA;2001-2006
Cottbus (KfS);Getreide;Triticale;NA;33.6;NA;2001-2006
Cottbus (KfS);Getreide;Weizen zusammen;NA;29;NA;2001-2006
Cottbus (KfS);Getreide;Wintergerste;NA;31. Aug;NA;2001-2006
Cottbus (KfS);Getreide;Winterweizen einschl. Dinkel;NA;29;NA;2001-2006
Cottbus (KfS);Hackfruechte;Kartoffeln zusammen;NA;198.7;NA;2001-2006
Cottbus (KfS);Hackfruechte;mittelfruehe und spaete Kartoffeln;NA;199;NA;2001-2006
Cottbus (KfS);Hackfruechte;Zuckerrueben;NA;NA;NA;2001-2006
Cottbus (KfS);Huelsenfruechte;Erbsen;NA;13. Jan;NA;2001-2006
Cottbus (KfS);Huelsenfruechte;Lupinen;NA;NA;NA;2001-2006
Cottbus (KfS);Oelfruechte;Raps und Ruebsen zusammen;NA;NA;NA;2001-2006
Cottbus (KfS);Oelfruechte;Sonnenblumen;NA;14. Feb;NA;2001-2006
Cottbus (KfS);Oelfruechte;Winterraps;NA;20. Jun;NA;2001-2006
Dahme-Spreewald;Futterpflanzen, Dauergruenland, Gruenernte;Feldgras/Grasanbau;NA;35.6;NA;2001-2006
Dahme-Spreewald;Futterpflanzen, Dauergruenland, Gruenernte;Klee, Kleegras und Klee-Luzerne-Gemisch;NA;58.8;NA;2001-2006
Dahme-Spreewald;Futterpflanzen, Dauergruenland, Gruenernte;Leguminosen;NA;NA;NA;2001-2006
Dahme-Spreewald;Futterpflanzen, Dauergruenland, Gruenernte;Luzerne, Luzernegras;NA;54.4;NA;2001-2006
Dahme-Spreewald;Futterpflanzen, Dauergruenland, Gruenernte;Silomais;NA;295.4;NA;2001-2006
Dahme-Spreewald;Futterpflanzen, Dauergruenland, Gruenernte;Weiden;NA;44.1;NA;2001-2006
Dahme-Spreewald;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen;NA;56.5;NA;2001-2006
Dahme-Spreewald;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen und Maehweiden zusammen;NA;47;NA;2001-2006
Dahme-Spreewald;Getreide;Brotgetreide zusammen;NA;37.6;NA;2001-2006
Dahme-Spreewald;Getreide;Futter- und Industriegetreide;NA;41.9;NA;2001-2006
Dahme-Spreewald;Getreide;Gerste zusammen;NA;47.2;NA;2001-2006
Dahme-Spreewald;Getreide;Getreide insgesamt;NA;39.4;NA;2001-2006
Dahme-Spreewald;Getreide;Getreide zur Ganzpflanzenernte;NA;NA;NA;2001-2006
Dahme-Spreewald;Getreide;Getreide zusammen (ohne Koernermais und Corn-Cob-Mix);NA;38.9;NA;2001-2006
Dahme-Spreewald;Getreide;Hafer;NA;25. Mrz;NA;2001-2006
Dahme-Spreewald;Getreide;Koernermais (einschl. Corn-Cob-Mix);NA;77.5;NA;2001-2006
Dahme-Spreewald;Getreide;Roggen;NA;35.7;NA;2001-2006
Dahme-Spreewald;Getreide;Roggen und Wintermenggetreide;NA;NA;NA;2001-2006
Dahme-Spreewald;Getreide;Sommergerste;NA;24. Feb;NA;2001-2006
Dahme-Spreewald;Getreide;Triticale;NA;41.2;NA;2001-2006
Dahme-Spreewald;Getreide;Weizen zusammen;NA;49.6;NA;2001-2006
Dahme-Spreewald;Getreide;Wintergerste;NA;51.4;NA;2001-2006
Dahme-Spreewald;Getreide;Winterweizen einschl. Dinkel;NA;51.1;NA;2001-2006
Dahme-Spreewald;Hackfruechte;Kartoffeln zusammen;NA;286.3;NA;2001-2006
Dahme-Spreewald;Hackfruechte;mittelfruehe und spaete Kartoffeln;NA;285;NA;2001-2006
Dahme-Spreewald;Hackfruechte;Zuckerrueben;NA;460.9;NA;2001-2006
Dahme-Spreewald;Huelsenfruechte;Erbsen;NA;19;NA;2001-2006
Dahme-Spreewald;Huelsenfruechte;Lupinen;NA;NA;NA;2001-2006
Dahme-Spreewald;Oelfruechte;Raps und Ruebsen zusammen;NA;NA;NA;2001-2006
Dahme-Spreewald;Oelfruechte;Sonnenblumen;NA;17. Jun;NA;2001-2006
Dahme-Spreewald;Oelfruechte;Winterraps;NA;30. Jun;NA;2001-2006
Elbe-Elster;Futterpflanzen, Dauergruenland, Gruenernte;Feldgras/Grasanbau;NA;50.7;NA;2001-2006
Elbe-Elster;Futterpflanzen, Dauergruenland, Gruenernte;Klee, Kleegras und Klee-Luzerne-Gemisch;NA;58.3;NA;2001-2006
Elbe-Elster;Futterpflanzen, Dauergruenland, Gruenernte;Leguminosen;NA;NA;NA;2001-2006
Elbe-Elster;Futterpflanzen, Dauergruenland, Gruenernte;Luzerne, Luzernegras;NA;80.6;NA;2001-2006
Elbe-Elster;Futterpflanzen, Dauergruenland, Gruenernte;Silomais;NA;323.9;NA;2001-2006
Elbe-Elster;Futterpflanzen, Dauergruenland, Gruenernte;Weiden;NA;61.1;NA;2001-2006
Elbe-Elster;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen;NA;58.4;NA;2001-2006
Elbe-Elster;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen und Maehweiden zusammen;NA;604.578.280.898.563;NA;2001-2006
Elbe-Elster;Getreide;Brotgetreide zusammen;NA;47.2;NA;2001-2006
Elbe-Elster;Getreide;Futter- und Industriegetreide;NA;45.2;NA;2001-2006
Elbe-Elster;Getreide;Gerste zusammen;NA;51;NA;2001-2006
Elbe-Elster;Getreide;Getreide insgesamt;NA;47.3;NA;2001-2006
Elbe-Elster;Getreide;Getreide zur Ganzpflanzenernte;NA;NA;NA;2001-2006
Elbe-Elster;Getreide;Getreide zusammen (ohne Koernermais und Corn-Cob-Mix);NA;46.3;NA;2001-2006
Elbe-Elster;Getreide;Hafer;NA;36.1;NA;2001-2006
Elbe-Elster;Getreide;Koernermais (einschl. Corn-Cob-Mix);NA;77.2;NA;2001-2006
Elbe-Elster;Getreide;Roggen;NA;42.9;NA;2001-2006
Elbe-Elster;Getreide;Roggen und Wintermenggetreide;NA;NA;NA;2001-2006
Elbe-Elster;Getreide;Sommergerste;NA;38.3;NA;2001-2006
Elbe-Elster;Getreide;Triticale;NA;41.3;NA;2001-2006
Elbe-Elster;Getreide;Weizen zusammen;NA;56.5;NA;2001-2006
Elbe-Elster;Getreide;Wintergerste;NA;52.7;NA;2001-2006
Elbe-Elster;Getreide;Winterweizen einschl. Dinkel;NA;56.7;NA;2001-2006
